[2022-07-08 01:19:08] Ora2Pg version: 23.1
[2022-07-08 01:19:08] Export type: SHOW_TABLE
[2022-07-08 01:19:08] Geometry export type: INTERNAL
[2022-07-08 01:19:08] ORACLE_HOME = /usr/local/oracle/10g
[2022-07-08 01:19:08] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
[2022-07-08 01:19:08] NLS_NCHAR = AL32UTF8
[2022-07-08 01:19:08] Trying to connect to database: dbi:Oracle:host=srv-dbora-03.whebdc.com.br;service_name=DEV_1810;port=1521
[2022-07-08 01:19:09] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
[2022-07-08 01:19:09] Showing table information...
[2022-07-08 01:20:16] Collecting 26408 tables in DBA_OBJECTS took: 67 wallclock secs ( 0.08 usr +  0.02 sys =  0.10 CPU)
[2022-07-08 01:21:41] Collecting 22920 tables information in DBA_TABLES took: 85 wallclock secs ( 0.21 usr +  0.02 sys =  0.23 CPU)
[2022-07-08 01:21:41] Retrieving column identity information...
[2022-07-08 01:22:26] Looking to subpartition information...
[2022-07-08 01:22:35] Looking to partitioned tables information...
[2022-07-08 01:22:40] Looking to external tables information...
[2022-07-08 01:22:40] [1] TABLE COMERCIAL.AAZF_MED (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:01] [9910] TABLE COMERCIAL.MPREV_LOCAL_ATEND_AGENDA (owner: COMERCIAL, 5 rows)
[2022-07-08 01:23:01] [9911] TABLE COMERCIAL.MPREV_LOCAL_ATEND_FOTO (owner: COMERCIAL, 2 rows)
[2022-07-08 01:23:01] [9912] TABLE COMERCIAL.MPREV_MODELO_PROGRAMA (owner: COMERCIAL, 9 rows)
[2022-07-08 01:23:01] [9913] TABLE COMERCIAL.MPREV_MODULO_ATEND (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9914] TABLE COMERCIAL.MPREV_MOTIVO_CANCEL_ATIV (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9915] TABLE COMERCIAL.MPREV_MOTIVO_DESVIO_PLANO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9916] TABLE COMERCIAL.MPREV_MOTIVO_SAIDA_GRUPO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9917] TABLE COMERCIAL.MPREV_MOTIVO_SUSP_ATEND (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9918] TABLE COMERCIAL.MPREV_PARTICIPANTE (owner: COMERCIAL, 5439 rows)
[2022-07-08 01:23:02] [9919] TABLE COMERCIAL.MPREV_PARTIC_CANC_ATIV (owner: COMERCIAL, 2 rows)
[2022-07-08 01:23:02] [9920] TABLE COMERCIAL.MPREV_PARTIC_CICLO_ATEND (owner: COMERCIAL, 2 rows)
[2022-07-08 01:23:02] [9921] TABLE COMERCIAL.MPREV_PARTIC_CICLO_ITEM (owner: COMERCIAL, 9 rows)
[2022-07-08 01:23:02] [9922] TABLE COMERCIAL.MPREV_PARTIC_CUIDADOR (owner: COMERCIAL, 7 rows)
[2022-07-08 01:23:02] [9923] TABLE COMERCIAL.MPREV_PARTIC_TIPO_ATEND (owner: COMERCIAL, 11 rows)
[2022-07-08 01:23:02] [9924] TABLE COMERCIAL.MPREV_PART_CIC_ITEM_ATIV (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9925] TABLE COMERCIAL.MPREV_PART_CIC_ITEM_RESP (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9926] TABLE COMERCIAL.MPREV_PESSOA_CUBO_OPS (owner: COMERCIAL, 5417 rows)
[2022-07-08 01:23:02] [9927] TABLE COMERCIAL.MPREV_PESSOA_CUBO_OPS_W (owner: COMERCIAL, 7549 rows)
[2022-07-08 01:23:02] [9928] TABLE COMERCIAL.MPREV_PESSOA_FOTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9929] TABLE COMERCIAL.MPREV_PLANO_ATENDIMENTO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9930] TABLE COMERCIAL.MPREV_PLANO_ATEND_ITEM (owner: COMERCIAL, 24 rows)
[2022-07-08 01:23:02] [9931] TABLE COMERCIAL.MPREV_PLANO_ATEND_IT_ATIV (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9932] TABLE COMERCIAL.MPREV_PLANO_ATEND_IT_RESP (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9933] TABLE COMERCIAL.MPREV_POPULACAO_ALVO (owner: COMERCIAL, 8 rows)
[2022-07-08 01:23:02] [9934] TABLE COMERCIAL.MPREV_POP_ALVO_BENEF (owner: COMERCIAL, 15912 rows)
[2022-07-08 01:23:02] [9935] TABLE COMERCIAL.MPREV_POP_ALVO_DATA (owner: COMERCIAL, 119 rows)
[2022-07-08 01:23:02] [9936] TABLE COMERCIAL.MPREV_POP_ALVO_PESSOA (owner: COMERCIAL, 15892 rows)
[2022-07-08 01:23:02] [9937] TABLE COMERCIAL.MPREV_POP_ALVO_SELECAO (owner: COMERCIAL, 21335 rows)
[2022-07-08 01:23:02] [9938] TABLE COMERCIAL.MPREV_POP_PES_ATEND (owner: COMERCIAL, 73199 rows)
[2022-07-08 01:23:02] [9939] TABLE COMERCIAL.MPREV_POP_PES_ATEND_PROC (owner: COMERCIAL, 13443 rows)
[2022-07-08 01:23:02] [9940] TABLE COMERCIAL.MPREV_POP_PES_CUSTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9941] TABLE COMERCIAL.MPREV_POP_PES_DIAGNOSTICO (owner: COMERCIAL, 70869 rows)
[2022-07-08 01:23:02] [9942] TABLE COMERCIAL.MPREV_POSSIBILIDADE_SIST (owner: COMERCIAL, 6 rows)
[2022-07-08 01:23:02] [9943] TABLE COMERCIAL.MPREV_PROGRAMA (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9944] TABLE COMERCIAL.MPREV_PROGRAMA_INDICADOR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9945] TABLE COMERCIAL.MPREV_PROGRAMA_MODULO (owner: COMERCIAL, 8 rows)
[2022-07-08 01:23:02] [9946] TABLE COMERCIAL.MPREV_PROGRAMA_PARTIC (owner: COMERCIAL, 31 rows)
[2022-07-08 01:23:02] [9947] TABLE COMERCIAL.MPREV_PROG_AREA_ATUACAO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9948] TABLE COMERCIAL.MPREV_PROG_ATENCAO_SAUDE (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9949] TABLE COMERCIAL.MPREV_PROG_CAMPANHA (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9950] TABLE COMERCIAL.MPREV_PROG_COORDENADOR (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9951] TABLE COMERCIAL.MPREV_PROG_DETALHE (owner: COMERCIAL, 7 rows)
[2022-07-08 01:23:02] [9952] TABLE COMERCIAL.MPREV_PROG_DIAGNOSTICO (owner: COMERCIAL, 11 rows)
[2022-07-08 01:23:02] [9953] TABLE COMERCIAL.MPREV_PROG_EQUIPE (owner: COMERCIAL, 6 rows)
[2022-07-08 01:23:02] [9954] TABLE COMERCIAL.MPREV_PROG_ESTRATEGIA (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9955] TABLE COMERCIAL.MPREV_PROG_EXAME (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9956] TABLE COMERCIAL.MPREV_PROG_FORMA_INGRESSO (owner: COMERCIAL, 8 rows)
[2022-07-08 01:23:02] [9957] TABLE COMERCIAL.MPREV_PROG_GRUPO_COL (owner: COMERCIAL, 5 rows)
[2022-07-08 01:23:02] [9958] TABLE COMERCIAL.MPREV_PROG_PARTIC_MODULO (owner: COMERCIAL, 6 rows)
[2022-07-08 01:23:02] [9959] TABLE COMERCIAL.MPREV_PROG_PARTIC_PROF (owner: COMERCIAL, 14 rows)
[2022-07-08 01:23:02] [9960] TABLE COMERCIAL.MPREV_PROG_POSSIB_SIST (owner: COMERCIAL, 5 rows)
[2022-07-08 01:23:02] [9961] TABLE COMERCIAL.MPREV_PROG_TEMA (owner: COMERCIAL, 3 rows)
[2022-07-08 01:23:02] [9962] TABLE COMERCIAL.MPREV_RECURSO_AGENDA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9963] TABLE COMERCIAL.MPREV_REGRA_CAPT_RESP_CRIT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9964] TABLE COMERCIAL.MPREV_REGRA_CAPT_RESP_DEST (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9965] TABLE COMERCIAL.MPREV_REGRA_CUBO (owner: COMERCIAL, 8 rows)
[2022-07-08 01:23:02] [9966] TABLE COMERCIAL.MPREV_REGRA_CUBO_ATEND (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9967] TABLE COMERCIAL.MPREV_REGRA_CUBO_BENEF (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [9968] TABLE COMERCIAL.MPREV_REGRA_CUBO_CUSTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9969] TABLE COMERCIAL.MPREV_REGRA_CUBO_DIAG (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [9970] TABLE COMERCIAL.MPREV_REGRA_CUBO_PESSOA (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9971] TABLE COMERCIAL.MPREV_REGRA_CUBO_PROC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9972] TABLE COMERCIAL.MPREV_REGRA_DADOS_CUBO_BEN (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9973] TABLE COMERCIAL.MPREV_REGRA_DADOS_CUBO_OPS (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [9974] TABLE COMERCIAL.MPREV_REGRA_ENVIO_MENSAGEM (owner: COMERCIAL, 6 rows)
[2022-07-08 01:23:02] [9975] TABLE COMERCIAL.MPREV_REGRA_EVENTO_ATEND (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [9976] TABLE COMERCIAL.MPREV_REGRA_EVENTO_EXTERNO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9977] TABLE COMERCIAL.MPREV_REGRA_EVENTO_EXT_DES (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9978] TABLE COMERCIAL.MPREV_REGRA_GER_ATEND (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [9979] TABLE COMERCIAL.MPREV_REGRA_META_TELE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9980] TABLE COMERCIAL.MPREV_REGRA_SCORE_PLANO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [9981] TABLE COMERCIAL.MPREV_REGRA_STATUS_AGENDA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9982] TABLE COMERCIAL.MPREV_SEL_PARTIC_AGENDA (owner: COMERCIAL, 18 rows)
[2022-07-08 01:23:02] [9983] TABLE COMERCIAL.MPREV_STATUS_ATENDIMENTO (owner: COMERCIAL, 6 rows)
[2022-07-08 01:23:02] [9984] TABLE COMERCIAL.MPREV_SUSPENSAO_ATEND (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9985] TABLE COMERCIAL.MPREV_TELE_REPASSE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9986] TABLE COMERCIAL.MPREV_TELE_SUG_CONTATO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9987] TABLE COMERCIAL.MPREV_TEMA_PROGRAMA (owner: COMERCIAL, 12 rows)
[2022-07-08 01:23:02] [9988] TABLE COMERCIAL.MPREV_TEXTO_RELAT (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [9989] TABLE COMERCIAL.MPREV_TEXTO_RELAT_CONTEUDO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [9990] TABLE COMERCIAL.MPREV_TIPO_DETALHE_PROG (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9991] TABLE COMERCIAL.MPREV_TIPO_EVENTO_ATEND (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9992] TABLE COMERCIAL.MPREV_TRANSFERENCIA_AGENDA (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [9993] TABLE COMERCIAL.MPREV_TRANSF_AGENDA_CONF (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9994] TABLE COMERCIAL.MPREV_TRANSF_AGENDA_ITEM (owner: COMERCIAL, 49 rows)
[2022-07-08 01:23:02] [9995] TABLE COMERCIAL.MPREV_TRANSF_PART_CIC_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9996] TABLE COMERCIAL.MPREV_TRANSF_RESP (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9997] TABLE COMERCIAL.MPREV_TRANSF_RESP_PROGRAMA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9998] TABLE COMERCIAL.MPREV_VALIDACAO_PARTIC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [9999] TABLE COMERCIAL.MPREV_VISUAL_CONTRL_PARTIC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10000] TABLE COMERCIAL.MP_CONFIGURACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10001] TABLE COMERCIAL.MP_DONO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10002] TABLE COMERCIAL.MP_EQUIPE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10003] TABLE COMERCIAL.MP_GRADIENTE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10004] TABLE COMERCIAL.MP_GRUPO_OBJETO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10005] TABLE COMERCIAL.MP_OBJETO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10006] TABLE COMERCIAL.MP_OBJETO_IMAGEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10007] TABLE COMERCIAL.MP_PROCESSO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10008] TABLE COMERCIAL.MP_PROCESSO_DOC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10009] TABLE COMERCIAL.MP_PROCESSO_OBJETO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10010] TABLE COMERCIAL.MP_PROCESSO_OBJ_REC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10011] TABLE COMERCIAL.MP_PROCESSO_RAIA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10012] TABLE COMERCIAL.MP_PROCESSO_UNID_ORG (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10013] TABLE COMERCIAL.MP_PROCESSO_USUARIO_CHAVE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10014] TABLE COMERCIAL.MP_PROCESSO_VERSAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10015] TABLE COMERCIAL.MP_PROC_OBJ_DOC_EXT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10016] TABLE COMERCIAL.MP_PROC_OBJ_ES (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10017] TABLE COMERCIAL.MP_PROC_OBJ_ES_VINCULO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10018] TABLE COMERCIAL.MP_PROC_OBJ_REF (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10019] TABLE COMERCIAL.MP_PROC_OBJ_TASY_CAD (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10020] TABLE COMERCIAL.MP_PROC_OBJ_TASY_FUNCAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10021] TABLE COMERCIAL.MP_PROC_OBJ_TASY_REL (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10022] TABLE COMERCIAL.MP_PROC_OBJ_UNID_ORG (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10023] TABLE COMERCIAL.MP_PROC_REGRA_EQUIP (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10024] TABLE COMERCIAL.MP_TAREFA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10025] TABLE COMERCIAL.MP_TIPO_RECURSO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10026] TABLE COMERCIAL.MP_UNID_ORG (owner: COMERCIAL, 3 rows)
[2022-07-08 01:23:02] [10027] TABLE COMERCIAL.MULT_APROV_FUNCAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10028] TABLE COMERCIAL.MULT_APROV_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10029] TABLE COMERCIAL.MULT_APROV_PROF (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10030] TABLE COMERCIAL.MUNICIPIO_COM_LOGRADOURO (owner: COMERCIAL, 339 rows)
[2022-07-08 01:23:02] [10031] TABLE COMERCIAL.MUSCULO (owner: COMERCIAL, 3 rows)
[2022-07-08 01:23:02] [10032] TABLE COMERCIAL.MUTIRAO_LISTA_ESPERA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10033] TABLE COMERCIAL.NACIONALIDADE (owner: COMERCIAL, 333 rows)
[2022-07-08 01:23:02] [10034] TABLE COMERCIAL.NAIS_CONVERSION_ERR_DETAIL (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10035] TABLE COMERCIAL.NAIS_CONVERSION_MASTER (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10036] TABLE COMERCIAL.NAIS_INSURANCE (owner: COMERCIAL, 10 rows)
[2022-07-08 01:23:02] [10037] TABLE COMERCIAL.NAIS_INSURANCE_ACCESSORY (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10038] TABLE COMERCIAL.NAIS_INSURANCE_DEPARTMENT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10039] TABLE COMERCIAL.NAO_CONFORMIDADE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10040] TABLE COMERCIAL.NASCIMENTO (owner: COMERCIAL, 995 rows)
[2022-07-08 01:23:02] [10041] TABLE COMERCIAL.NASCIMENTO_AMAMENTACAO (owner: COMERCIAL, 915 rows)
[2022-07-08 01:23:02] [10042] TABLE COMERCIAL.NASCIMENTO_EF_ALTA (owner: COMERCIAL, 15 rows)
[2022-07-08 01:23:02] [10043] TABLE COMERCIAL.NASCIMENTO_EVENTO (owner: COMERCIAL, 11 rows)
[2022-07-08 01:23:02] [10044] TABLE COMERCIAL.NASCIMENTO_EXAME_FISICO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10045] TABLE COMERCIAL.NASCIMENTO_IMAGEM (owner: COMERCIAL, 14 rows)
[2022-07-08 01:23:02] [10046] TABLE COMERCIAL.NATUREZA_GASTO (owner: COMERCIAL, 409 rows)
[2022-07-08 01:23:02] [10047] TABLE COMERCIAL.NATUREZA_OPERACAO (owner: COMERCIAL, 34 rows)
[2022-07-08 01:23:02] [10048] TABLE COMERCIAL.NC_CURVA_ABC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10049] TABLE COMERCIAL.NC_CURVA_ABC_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10050] TABLE COMERCIAL.NECESSIDADE_AUXILIO_MED (owner: COMERCIAL, 5 rows)
[2022-07-08 01:23:02] [10051] TABLE COMERCIAL.NECESSIDADE_ENFER_PACIENTE (owner: COMERCIAL, 5 rows)
[2022-07-08 01:23:02] [10052] TABLE COMERCIAL.NEGOCIACAO_CR (owner: COMERCIAL, 77 rows)
[2022-07-08 01:23:02] [10053] TABLE COMERCIAL.NEGOCIACAO_CR_BOLETO (owner: COMERCIAL, 147 rows)
[2022-07-08 01:23:02] [10054] TABLE COMERCIAL.NEGOCIACAO_CR_CARTAO (owner: COMERCIAL, 10 rows)
[2022-07-08 01:23:02] [10055] TABLE COMERCIAL.NEGOCIACAO_CR_CHEQUE (owner: COMERCIAL, 13 rows)
[2022-07-08 01:23:02] [10056] TABLE COMERCIAL.NEGOCIACAO_CR_DEB_CC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10057] TABLE COMERCIAL.NEGOCIACAO_CR_DEP_IDENT (owner: COMERCIAL, 2 rows)
[2022-07-08 01:23:02] [10058] TABLE COMERCIAL.NEGOCIACAO_CR_ESPECIE (owner: COMERCIAL, 21 rows)
[2022-07-08 01:23:02] [10059] TABLE COMERCIAL.NEGOCIACAO_CR_INCONSIST (owner: COMERCIAL, 60 rows)
[2022-07-08 01:23:02] [10060] TABLE COMERCIAL.NEGOCIACAO_CR_INCON_LIB (owner: COMERCIAL, 37 rows)
[2022-07-08 01:23:02] [10061] TABLE COMERCIAL.NEGOCIACAO_CR_PARCELA (owner: COMERCIAL, 624 rows)
[2022-07-08 01:23:02] [10062] TABLE COMERCIAL.NEGOCIACAO_CR_PARCELA_LIB (owner: COMERCIAL, 12 rows)
[2022-07-08 01:23:02] [10063] TABLE COMERCIAL.NEGOCIACAO_CR_PLS_MENS (owner: COMERCIAL, 3 rows)
[2022-07-08 01:23:02] [10064] TABLE COMERCIAL.NEGOCIACAO_LOTE_AUDIT_ARQ (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10065] TABLE COMERCIAL.NEGOCIACAO_LOTE_AUDIT_ENV (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10066] TABLE COMERCIAL.NEGOCIACAO_LOTE_AUDIT_HIST (owner: COMERCIAL, 2 rows)
[2022-07-08 01:23:02] [10067] TABLE COMERCIAL.NEGOCIACAO_LOTE_AUDIT_RESP (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10068] TABLE COMERCIAL.NERVO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [10069] TABLE COMERCIAL.NERVO_PRODUTO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [10070] TABLE COMERCIAL.NERVO_PRODUTO_MATERIAL (owner: COMERCIAL, 2 rows)
[2022-07-08 01:23:02] [10071] TABLE COMERCIAL.NEW_BORN_DIAGNOSE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10072] TABLE COMERCIAL.NFE_INUTILIZACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10073] TABLE COMERCIAL.NFE_LOG_EMAIL (owner: COMERCIAL, 3 rows)
[2022-07-08 01:23:02] [10074] TABLE COMERCIAL.NFE_REGRA (owner: COMERCIAL, 1 rows)
[2022-07-08 01:23:02] [10075] TABLE COMERCIAL.NFE_REGRA_DETALHE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10076] TABLE COMERCIAL.NFE_SENHA_CONEXAO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:23:02] [10077] TABLE COMERCIAL.NFE_TRANSMISSAO (owner: COMERCIAL, 500 rows)
[2022-07-08 01:23:02] [10078] TABLE COMERCIAL.NFE_TRANSMISSAO_ERRO (owner: COMERCIAL, 143 rows)
[2022-07-08 01:23:02] [10079] TABLE COMERCIAL.NFE_TRANSMISSAO_NF (owner: COMERCIAL, 521 rows)
[2022-07-08 01:23:02] [10080] TABLE COMERCIAL.NFSE_REGRA (owner: COMERCIAL, 2 rows)
[2022-07-08 01:23:02] [10081] TABLE COMERCIAL.NFSE_REGRA_LINK (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10082] TABLE COMERCIAL.NFSE_TIPO_DOC_FISCAL (owner: COMERCIAL, 3 rows)
[2022-07-08 01:23:02] [10083] TABLE COMERCIAL.NF_CREDITO (owner: COMERCIAL, 2 rows)
[2022-07-08 01:23:02] [10084] TABLE COMERCIAL.NF_CREDITO_ITEM (owner: COMERCIAL, 2 rows)
[2022-07-08 01:23:02] [10085] TABLE COMERCIAL.NF_IMP_ARQUIVO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10086] TABLE COMERCIAL.NF_IMP_CHAVE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10087] TABLE COMERCIAL.NF_IMP_NOTA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10088] TABLE COMERCIAL.NF_IMP_NOTA_IMPOSTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10089] TABLE COMERCIAL.NF_IMP_NOTA_INC_VINCULO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10090] TABLE COMERCIAL.NF_IMP_NOTA_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10091] TABLE COMERCIAL.NF_IMP_NOTA_ITEM_REG_ADUAN (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10092] TABLE COMERCIAL.NF_IMP_NOTA_REG_IMOB (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10093] TABLE COMERCIAL.NF_IMP_NOTA_RELACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10094] TABLE COMERCIAL.NF_IMP_REGRA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10095] TABLE COMERCIAL.NF_INTEGRACAO_PAT_EQUIP (owner: COMERCIAL, 145 rows)
[2022-07-08 01:23:02] [10096] TABLE COMERCIAL.NICU_BREAST_MILK (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10097] TABLE COMERCIAL.NICU_CHECKLIST (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10098] TABLE COMERCIAL.NICU_CHECKLIST_ANSWER (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10099] TABLE COMERCIAL.NICU_CLINICAL_ATTRIBUTE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10100] TABLE COMERCIAL.NICU_CLINICAL_PARAMETER (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10101] TABLE COMERCIAL.NICU_CLINICAL_RULE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10102] TABLE COMERCIAL.NICU_CLINICAL_RULE_AGING (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10103] TABLE COMERCIAL.NICU_CLINICAL_RULE_COLOR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10104] TABLE COMERCIAL.NICU_DATA_DECIMATION (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10105] TABLE COMERCIAL.NICU_DATA_DECIMATION_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10106] TABLE COMERCIAL.NICU_DOCUMENT_READ (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10107] TABLE COMERCIAL.NICU_ENCOUNTER (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10108] TABLE COMERCIAL.NICU_ENCOUNTER_STAFF (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10109] TABLE COMERCIAL.NICU_GLOSSARY_CATEGORY (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10110] TABLE COMERCIAL.NICU_GLOSSARY_CONTENT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:23:02] [10111] TABLE COMERCIAL.NICU_MEDICATION_REQUEST (owner: COMERCIAL, 0 rows)
